
=====================================================================================
 PROCESSANDO, NORMALIZANDO E VALIDANDO: |eta| < 0.5 | pT: global
=====================================================================================
  [Sanidade OK | Soft - All Physics | Charged | eta_0p5]: N_ev = 999996 | Integral dN/deta = 5.2250 | Média <N> (Mult) = 5.2250 (Dif: 0.00%)
  [Sanidade OK | Hard - All Physics | Charged | eta_0p5]: N_ev = 1000006 | Integral dN/deta = 2.9325 | Média <N> (Mult) = 2.9325 (Dif: 0.00%)
  [Sanidade OK | Soft - No MPI | Charged | eta_0p5]: N_ev = 1000001 | Integral dN/deta = 3.3916 | Média <N> (Mult) = 3.3916 (Dif: 0.00%)
  [Sanidade OK | Hard - No MPI | Charged | eta_0p5]: N_ev = 999988 | Integral dN/deta = 2.2382 | Média <N> (Mult) = 2.2381 (Dif: 0.00%)
  [Sanidade OK | Soft - Only MPI | Charged | eta_0p5]: N_ev = 999999 | Integral dN/deta = 3.2039 | Média <N> (Mult) = 3.2039 (Dif: 0.00%)
  [Sanidade OK | Hard - Only MPI | Charged | eta_0p5]: N_ev = 999991 | Integral dN/deta = 2.3753 | Média <N> (Mult) = 2.3753 (Dif: 0.00%)
  [Sanidade OK | Soft - Only ISR | Charged | eta_0p5]: N_ev = 1000000 | Integral dN/deta = 2.9040 | Média <N> (Mult) = 2.9040 (Dif: 0.00%)
  [Sanidade OK | Hard - Only ISR | Charged | eta_0p5]: N_ev = 999997 | Integral dN/deta = 2.1053 | Média <N> (Mult) = 2.1053 (Dif: 0.00%)
  [Sanidade OK | Soft - Only FSR | Charged | eta_0p5]: N_ev = 1000000 | Integral dN/deta = 2.6814 | Média <N> (Mult) = 2.6814 (Dif: 0.00%)
  [Sanidade OK | Hard - Only FSR | Charged | eta_0p5]: N_ev = 1000008 | Integral dN/deta = 2.0678 | Média <N> (Mult) = 2.0678 (Dif: 0.00%)
  [Sanidade OK | Soft - No Extra | Charged | eta_0p5]: N_ev = 999994 | Integral dN/deta = 2.4760 | Média <N> (Mult) = 2.4759 (Dif: 0.00%)
  [Sanidade OK | Hard - No Extra | Charged | eta_0p5]: N_ev = 999997 | Integral dN/deta = 2.0065 | Média <N> (Mult) = 2.0065 (Dif: 0.00%)
  [Sanidade OK | Soft - All Physics | D0_mesons | eta_0p5]: N_ev = 999997 | Integral dN/deta = 0.0121 | Média <N> (Mult) = 0.0121 (Dif: 0.00%)
  [Sanidade OK | Hard - All Physics | D0_mesons | eta_0p5]: N_ev = 999996 | Integral dN/deta = 0.0023 | Média <N> (Mult) = 0.0023 (Dif: 0.00%)
  [Sanidade OK | Soft - No MPI | D0_mesons | eta_0p5]: N_ev = 1000004 | Integral dN/deta = 0.0080 | Média <N> (Mult) = 0.0080 (Dif: 0.00%)
  [Sanidade OK | Hard - No MPI | D0_mesons | eta_0p5]: N_ev = 999998 | Integral dN/deta = 0.0012 | Média <N> (Mult) = 0.0012 (Dif: 0.00%)
  [Sanidade OK | Soft - Only MPI | D0_mesons | eta_0p5]: N_ev = 999999 | Integral dN/deta = 0.0042 | Média <N> (Mult) = 0.0042 (Dif: 0.00%)
  [Sanidade OK | Hard - Only MPI | D0_mesons | eta_0p5]: N_ev = 999999 | Integral dN/deta = 0.0009 | Média <N> (Mult) = 0.0009 (Dif: 0.00%)
  [Sanidade OK | Soft - Only ISR | D0_mesons | eta_0p5]: N_ev = 999998 | Integral dN/deta = 0.0038 | Média <N> (Mult) = 0.0038 (Dif: 0.00%)
  [Sanidade OK | Hard - Only ISR | D0_mesons | eta_0p5]: N_ev = 999998 | Integral dN/deta = 0.0007 | Média <N> (Mult) = 0.0007 (Dif: 0.00%)
  [Sanidade OK | Soft - Only FSR | D0_mesons | eta_0p5]: N_ev = 999997 | Integral dN/deta = 0.0044 | Média <N> (Mult) = 0.0044 (Dif: 0.00%)
  [Sanidade OK | Hard - Only FSR | D0_mesons | eta_0p5]: N_ev = 999995 | Integral dN/deta = 0.0007 | Média <N> (Mult) = 0.0007 (Dif: 0.00%)
  [Sanidade OK | Soft - No Extra | D0_mesons | eta_0p5]: N_ev = 999998 | Integral dN/deta = 0.0025 | Média <N> (Mult) = 0.0025 (Dif: 0.00%)
  [Sanidade OK | Hard - No Extra | D0_mesons | eta_0p5]: N_ev = 1000004 | Integral dN/deta = 0.0005 | Média <N> (Mult) = 0.0005 (Dif: 0.00%)
  [Sanidade OK | Soft - All Physics | D_mesons | eta_0p5]: N_ev = 1000000 | Integral dN/deta = 0.0062 | Média <N> (Mult) = 0.0062 (Dif: 0.00%)
  [Sanidade OK | Hard - All Physics | D_mesons | eta_0p5]: N_ev = 1000002 | Integral dN/deta = 0.0012 | Média <N> (Mult) = 0.0012 (Dif: 0.00%)
