N_ch N_D N_Ds N_K
6 0 0 2
5 0 0 0
2 0 0 1
15 0 0 3
3 0 0 0
2 0 0 0
10 0 0 0
7 0 0 0
6 0 0 0
5 0 0 0
5 0 0 0
2 0 0 0
6 0 0 1
4 0 0 0
5 0 0 0
4 0 0 0
8 0 0 2
13 0 0 1
5 0 0 0
3 0 0 1
3 0 0 1
7 0 0 1
3 0 0 0
9 0 0 0
6 0 0 0
2 0 0 0
3 0 0 0
7 0 0 0
1 0 0 0
12 0 0 2
7 0 0 0
4 0 0 0
8 0 0 0
2 0 0 1
5 0 0 0
5 0 0 1
3 0 0 0
1 0 0 0
3 0 0 0
9 0 0 1
6 0 0 3
7 0 0 0
5 0 0 0
6 0 0 1
3 0 0 0
13 0 0 1
4 0 0 0
4 0 0 0
5 0 0 0
2 0 0 0
1 0 0 0
2 0 0 0
11 0 0 2
5 0 0 0
3 0 0 0
7 0 0 2
5 0 0 0
3 0 0 0
1 0 0 0
4 0 0 0
12 0 0 0
2 0 0 0
10 0 0 0
3 0 0 0
6 0 0 0
2 0 0 0
3 0 0 1
3 0 0 0
6 0 0 1
4 0 0 0
5 0 0 1
2 0 0 0
2 0 0 0
3 0 0 1
7 0 0 0
4 0 0 1
3 0 0 0
5 0 0 0
8 0 0 0
3 0 0 0
7 0 0 0
14 0 0 2
13 0 0 0
4 0 0 0
4 0 0 1
8 0 0 0
2 0 0 0
2 0 0 0
5 0 0 0
5 0 0 2
20 0 0 0
7 0 0 0
3 0 0 0
2 0 0 0
4 0 0 0
28 0 0 0
2 0 0 0
4 0 0 0
6 0 0 1
5 0 0 0
4 0 0 0
8 0 0 0
6 0 0 0
8 0 0 1
7 0 0 0
1 0 0 0
8 0 0 1
1 0 0 0
1 0 0 0
8 0 0 3
14 0 0 2
5 0 0 0
6 0 0 1
26 0 0 1
7 0 0 3
4 0 0 0
5 0 0 0
4 0 0 0
3 0 0 0
3 0 0 2
7 0 0 0
12 0 0 0
5 0 0 0
2 0 0 0
7 0 0 0
8 0 0 1
4 0 0 0
18 0 0 1
5 0 0 1
22 0 0 2
5 0 0 0
4 0 0 0
3 0 0 2
2 0 0 0
4 0 0 0
2 0 0 0
13 0 0 0
8 0 0 0
2 0 0 1
0 0 0 0
6 0 0 3
6 0 0 2
2 0 0 0
2 0 0 0
3 0 0 0
5 0 0 1
3 0 0 0
3 0 0 0
14 0 0 2
4 0 0 0
4 0 0 0
5 0 0 0
1 0 0 0
7 0 0 1
5 0 0 0
3 0 0 0
2 0 0 0
6 0 0 1
4 0 0 0
2 0 0 0
4 0 0 0
5 0 0 0
8 0 0 1
7 0 0 1
12 0 0 0
6 0 0 0
2 0 0 0
6 0 0 0
2 0 0 0
6 0 0 1
7 0 0 1
3 0 0 0
4 0 0 0
4 0 0 1
1 0 0 0
8 0 0 0
2 0 0 0
2 0 0 1
8 0 0 0
9 0 0 2
10 0 0 2
4 0 0 3
6 0 0 0
3 0 0 0
30 0 0 0
3 0 0 0
4 0 0 0
4 0 0 0
4 0 0 1
1 0 0 0
13 0 0 1
5 0 0 0
5 0 0 1
16 0 0 0
4 0 0 0
2 0 0 0
1 0 0 0
8 0 0 1
18 0 0 0
5 0 0 0
4 0 0 0
12 0 0 1
2 0 0 0
6 0 0 0
4 0 0 1
5 0 0 0
5 0 0 0
6 0 0 0
4 0 0 1
6 0 0 0
3 0 0 0
21 0 0 2
1 0 0 0
3 0 0 1
2 0 0 0
4 0 0 0
2 0 0 0
8 0 0 0
33 0 0 2
6 0 0 0
1 0 0 0
5 0 0 0
6 0 0 1
4 0 0 1
0 0 0 0
8 0 0 0
2 0 0 0
1 0 0 0
4 0 0 0
3 0 0 0
17 1 0 2
4 0 0 1
4 0 0 1
10 0 0 0
38 0 0 3
10 0 0 0
5 0 0 1
5 0 0 0
11 0 0 1
3 0 0 0
6 0 0 0
3 0 0 0
9 0 0 0
2 0 0 0
4 0 0 0
5 0 0 0
5 0 0 0
6 0 0 0
4 0 0 2
5 0 0 0
6 0 0 1
5 0 0 0
11 0 0 3
5 0 0 0
4 0 0 0
6 0 0 1
1 0 0 0
3 0 0 0
5 0 0 0
4 0 0 0
7 0 0 0
5 0 0 2
5 0 0 2
8 0 0 0
5 0 0 0
1 0 0 0
3 0 0 0
7 0 0 1
5 0 0 0
4 0 0 1
13 0 0 0
3 0 0 0
5 0 0 1
3 0 0 0
6 0 0 2
7 0 0 1
7 0 0 0
2 0 0 1
