N_ch N_D N_Ds N_K
29 0 0 2
20 0 0 1
20 0 0 4
30 0 0 1
21 0 0 0
24 0 0 3
28 0 0 4
22 0 0 3
24 0 0 2
28 0 0 4
24 0 0 3
25 0 0 0
30 0 0 2
49 0 0 2
35 0 0 3
18 0 0 2
13 0 0 3
7 0 0 3
22 0 0 3
36 0 0 6
59 0 0 3
80 0 0 6
47 0 0 8
20 0 0 2
27 0 0 0
19 0 0 3
23 0 0 1
12 0 0 3
29 0 0 1
35 0 0 2
24 0 0 2
29 0 0 3
34 0 0 3
21 0 0 0
49 0 0 1
19 0 0 0
27 0 0 3
24 0 0 3
18 0 0 3
30 0 0 5
25 1 0 0
21 0 0 5
49 0 0 5
35 0 0 1
10 0 0 0
45 0 0 3
25 0 0 0
23 0 0 2
64 0 0 9
23 0 0 0
30 0 0 1
24 0 0 1
23 0 0 3
25 0 0 1
32 0 0 5
26 0 0 1
33 0 0 3
23 0 0 1
22 0 0 2
61 0 0 6
29 0 0 3
27 0 0 1
17 0 0 1
39 0 0 6
15 0 0 0
79 0 0 7
28 0 0 2
25 0 0 1
31 0 0 2
29 0 0 3
33 0 0 6
53 0 0 6
132 0 0 8
32 0 0 2
20 0 0 1
58 0 0 8
22 0 0 2
20 0 0 1
27 0 0 4
29 0 0 2
27 0 0 3
22 0 0 2
18 0 0 2
33 0 0 4
17 0 0 2
22 0 0 0
19 0 0 2
21 0 0 2
29 0 0 4
19 0 0 3
31 0 0 7
35 0 0 4
22 0 0 3
28 0 0 3
17 0 0 0
28 0 0 4
26 0 0 3
21 0 0 1
20 0 0 0
20 0 0 3
27 0 0 1
24 0 0 2
121 0 0 15
18 0 0 2
20 0 0 1
31 0 0 2
23 0 0 2
24 0 0 3
33 0 0 1
20 0 0 2
24 0 0 3
14 0 0 0
23 0 0 0
42 0 0 0
16 0 0 4
10 0 0 0
24 0 0 3
23 0 0 3
21 0 0 0
11 0 0 0
13 0 0 0
18 0 0 2
19 0 0 0
24 0 0 10
24 0 0 1
31 0 0 1
29 0 0 3
23 0 0 1
35 0 0 2
31 0 0 4
19 0 0 2
63 0 0 2
30 0 0 0
28 0 0 6
31 0 0 3
25 0 0 3
30 0 0 0
27 0 0 0
20 0 0 4
30 0 0 2
21 0 0 2
25 0 0 0
23 0 0 0
78 0 0 2
11 0 0 2
49 0 0 5
27 0 0 2
26 0 0 1
21 0 0 2
25 0 0 4
28 0 0 1
33 0 0 3
36 0 0 1
22 0 0 1
29 0 0 3
77 0 0 5
20 0 0 2
12 0 0 0
19 0 0 2
34 0 0 2
8 0 0 0
24 0 0 2
20 0 0 3
19 0 0 2
40 0 0 2
21 0 0 1
28 0 0 0
22 0 0 0
31 0 0 2
76 0 0 9
17 0 0 3
25 0 0 0
27 0 0 5
18 0 0 2
31 0 0 4
28 0 0 0
18 0 0 0
26 0 0 1
30 0 0 0
32 0 0 5
32 0 0 4
18 0 0 3
11 0 0 1
23 0 0 0
29 0 0 1
20 0 0 3
23 0 0 3
23 0 0 1
20 0 0 3
26 0 0 3
20 0 0 2
32 0 0 5
20 0 0 0
23 0 0 1
23 0 0 4
20 0 0 1
48 0 0 3
31 0 0 4
27 0 0 2
21 0 0 2
15 0 0 0
26 0 0 4
25 0 0 3
29 0 0 2
31 0 0 0
23 0 0 1
22 0 0 3
22 0 0 0
25 0 0 1
23 0 0 3
26 0 0 1
20 0 0 2
17 0 0 0
26 0 0 1
19 0 0 3
25 0 0 2
18 0 0 4
19 0 0 0
34 0 0 10
44 0 0 3
20 0 0 1
28 0 0 2
37 0 0 2
20 0 0 1
21 0 0 1
20 0 0 1
33 0 0 4
13 0 0 2
19 0 0 1
25 0 0 1
29 0 0 2
25 0 0 1
24 0 0 4
21 0 0 2
50 0 0 5
21 0 0 1
16 0 0 0
22 0 0 0
28 0 0 5
30 0 0 3
24 0 0 3
20 0 0 0
49 0 0 4
55 0 0 6
18 0 0 0
26 0 0 2
27 0 0 2
29 0 0 5
23 0 0 1
21 0 0 1
14 0 0 0
20 0 0 1
25 0 0 1
17 0 0 1
29 0 0 2
24 0 0 1
27 0 0 2
57 1 0 3
26 0 0 3
19 0 0 0
20 0 0 1
26 0 0 2
31 0 0 4
26 1 0 1
24 0 0 3
22 0 0 0
31 0 0 3
17 0 0 0
19 0 0 1
14 0 0 1
17 0 0 2
28 0 0 4
22 0 0 3
15 0 0 2
22 0 0 4
28 0 0 2
26 0 0 3
30 0 0 7
13 0 0 3
24 0 0 1
25 0 0 3
25 0 0 2
51 0 0 7
22 0 0 1
25 0 0 3
28 0 0 2
53 0 0 5
24 0 0 5
85 0 0 3
21 0 0 2
22 0 0 0
28 0 0 0
25 0 0 2
26 0 0 2
25 0 0 2
29 0 0 1
17 0 0 1
21 0 0 3
57 0 0 1
30 0 0 2
22 0 0 1
25 0 0 4
36 0 0 1
45 0 0 4
21 0 0 1
28 0 0 1
13 0 0 4
30 0 0 3
17 0 0 5
18 0 0 2
12 0 0 4
18 0 0 3
14 0 0 0
8 0 0 1
31 0 0 1
31 0 0 4
20 0 0 0
24 0 0 0
24 0 0 1
119 0 0 6
30 0 0 2
22 0 0 2
34 0 0 2
35 0 0 2
29 0 0 3
40 0 0 1
24 0 0 2
23 0 0 2
26 0 0 0
23 0 0 4
15 0 0 0
36 0 0 0
35 0 0 5
16 0 0 2
30 0 0 0
17 0 0 0
38 0 0 4
35 0 0 4
18 0 0 2
22 0 0 3
28 0 0 7
29 0 0 6
31 0 0 2
24 0 0 8
28 0 0 2
21 0 0 5
31 0 0 3
19 0 0 3
28 0 0 2
24 0 0 1
29 0 0 3
27 0 0 3
29 0 0 2
39 0 0 2
33 0 0 1
14 0 0 3
24 0 0 2
21 0 0 2
37 0 0 4
36 0 0 3
97 0 0 12
26 0 0 0
30 0 0 5
25 0 0 2
49 0 0 4
121 0 0 6
27 0 0 1
27 0 0 3
19 0 0 1
76 0 0 11
23 0 0 3
24 0 0 5
46 0 0 3
27 0 0 3
25 0 0 1
14 0 0 1
24 0 0 2
45 0 0 3
25 0 0 1
50 0 0 2
15 0 0 2
27 0 0 2
16 0 0 5
22 0 0 2
27 0 0 3
17 0 0 3
18 0 0 3
29 0 0 4
27 0 0 2
26 0 0 4
25 0 0 4
24 0 0 0
25 0 0 1
19 0 0 3
23 0 0 3
45 0 0 1
21 0 0 2
18 0 0 3
18 0 0 2
104 0 0 10
29 0 0 1
17 0 0 2
103 0 0 12
25 0 0 3
25 0 0 1
22 0 0 2
38 0 0 2
23 0 0 2
34 0 0 4
28 0 0 4
29 0 0 0
15 0 0 1
37 0 0 10
19 0 0 0
65 0 0 6
23 0 0 1
21 0 0 2
30 0 0 3
23 0 0 0
23 0 0 0
26 0 0 3
31 0 0 2
32 0 0 3
27 0 0 4
72 0 0 9
26 0 0 4
28 0 0 2
20 0 0 0
16 0 0 3
46 0 0 6
27 0 0 4
28 0 0 3
50 0 0 6
23 0 0 2
34 0 0 0
113 1 1 14
26 0 0 6
17 0 0 2
32 0 0 5
23 0 0 3
31 0 0 3
18 0 0 0
23 0 0 7
18 0 0 0
112 0 0 13
29 0 0 1
19 0 0 1
70 0 0 9
22 0 0 3
23 0 0 0
18 0 0 1
30 0 0 3
21 0 0 1
14 0 0 0
24 0 0 3
26 0 0 1
77 0 0 7
26 0 0 2
32 0 0 3
14 0 0 2
29 0 0 1
15 0 0 0
42 0 0 6
34 0 0 4
21 0 0 6
23 0 0 0
13 0 0 2
31 0 0 3
24 0 0 1
31 0 0 0
19 0 0 0
26 0 0 2
28 0 0 1
23 0 0 2
15 0 0 0
22 0 0 0
34 0 0 2
43 0 0 4
21 0 0 0
22 0 0 0
19 0 0 1
24 0 0 2
17 0 0 0
21 0 0 0
68 0 0 10
29 0 0 5
19 0 0 1
35 0 0 4
31 0 0 1
25 0 0 3
12 0 0 2
24 0 0 3
14 0 0 1
30 0 0 4
17 0 0 4
29 0 0 4
26 0 0 3
24 0 0 2
52 0 0 5
21 0 0 1
21 0 0 1
37 0 0 3
28 0 0 4
22 0 0 4
27 0 0 1
29 0 0 3
38 0 0 5
32 0 0 1
28 0 0 2
34 0 0 2
29 0 0 6
24 0 0 0
19 0 0 4
26 0 0 5
29 0 0 2
35 0 0 2
37 0 0 1
21 0 0 2
25 0 0 3
18 0 0 1
17 0 0 0
18 0 0 2
25 0 0 4
16 0 0 0
21 0 0 2
37 0 0 2
29 0 0 4
15 0 0 0
30 0 0 0
56 0 0 3
27 0 0 2
23 0 0 3
18 0 0 0
25 0 0 2
28 0 0 5
24 0 0 2
39 0 0 1
12 0 0 1
28 0 0 3
18 0 0 3
24 0 0 0
22 0 0 3
28 0 0 0
18 0 0 3
27 0 0 0
26 0 0 3
12 0 0 2
53 0 0 5
31 0 0 2
45 0 0 5
26 0 0 1
26 0 0 2
21 0 0 0
26 0 0 0
49 0 0 5
30 0 0 3
23 0 0 4
14 0 0 3
25 0 0 2
15 0 0 1
27 0 0 4
15 0 0 0
54 0 0 4
24 0 0 3
14 0 0 1
24 0 0 0
27 0 0 0
55 0 0 2
13 0 0 1
46 0 0 7
25 0 0 0
29 0 0 3
109 0 0 7
27 0 0 0
16 0 0 2
28 0 0 4
20 0 0 2
11 0 0 0
23 0 0 3
18 0 0 0
22 0 0 3
25 0 0 2
13 0 0 0
21 0 0 3
33 0 0 7
19 0 0 5
27 0 0 3
34 0 0 3
33 0 0 2
27 0 0 1
43 0 0 3
28 0 0 4
24 0 0 1
26 0 0 4
15 0 0 1
21 0 0 1
24 0 0 3
22 0 0 3
31 0 0 2
17 0 0 3
48 0 0 5
24 0 0 1
27 0 0 2
24 0 0 1
24 0 0 1
22 0 0 2
29 0 0 0
23 0 0 2
23 0 0 5
21 0 0 5
26 0 0 3
18 0 0 3
24 0 0 4
20 0 0 3
20 0 0 1
22 0 0 0
25 0 0 0
31 0 0 0
22 0 0 5
33 0 0 4
21 0 0 3
28 0 0 1
25 0 0 1
29 0 0 2
22 0 0 2
12 0 0 0
19 0 0 1
26 0 0 4
32 0 0 1
20 0 0 2
27 0 0 4
38 0 0 3
13 0 0 0
24 0 0 3
26 0 0 1
22 0 0 2
30 0 0 0
25 0 0 3
24 0 0 1
20 0 0 2
40 0 0 6
34 0 0 3
18 0 0 6
13 0 0 0
25 0 0 2
18 1 0 3
35 0 0 0
23 0 0 1
25 0 0 1
12 0 0 1
23 0 0 4
21 0 0 0
23 0 0 1
26 0 0 3
29 0 0 3
23 0 0 2
10 0 0 0
49 0 0 7
12 0 0 0
35 0 0 3
29 0 0 1
22 0 0 2
16 0 0 2
33 0 0 2
25 0 0 5
26 0 0 2
12 0 0 3
25 0 0 3
26 0 0 7
26 0 0 4
89 0 0 6
22 0 0 0
23 0 0 6
18 0 0 1
21 0 0 2
30 0 0 8
21 0 0 6
23 0 0 6
56 0 0 2
9 0 0 0
22 0 0 1
11 0 0 2
