N_ch N_D N_Ds N_K
13 0 0 3
34 0 0 4
87 0 0 6
0 0 0 0
0 0 0 0
19 0 0 1
9 0 0 1
0 0 0 0
81 0 0 7
0 0 0 0
0 0 0 0
25 0 0 4
0 0 0 0
53 0 0 0
6 0 0 0
109 0 0 11
7 0 0 0
0 0 0 0
27 0 0 1
10 0 0 0
0 0 0 0
63 0 0 11
49 0 0 4
0 0 0 0
54 0 0 3
0 0 0 0
0 0 0 0
9 0 0 0
0 0 0 0
0 0 0 0
11 0 0 1
24 0 0 2
32 0 0 1
46 0 0 4
26 0 0 0
0 0 0 0
213 2 0 24
27 0 0 2
138 0 0 16
0 0 0 0
0 0 0 0
0 0 0 0
13 0 0 0
0 0 0 0
25 0 0 1
0 0 0 0
0 0 0 0
32 0 0 6
2 0 0 0
16 0 0 0
0 0 0 0
22 0 0 1
30 0 0 2
62 0 0 6
18 0 0 1
25 0 0 2
61 0 0 0
14 0 0 0
0 0 0 0
36 0 0 0
23 0 0 2
7 0 0 1
0 0 0 0
158 0 0 12
0 0 0 0
0 0 0 0
81 0 0 13
0 0 0 0
0 0 0 0
15 0 0 2
0 0 0 0
0 0 0 0
51 0 0 6
63 0 0 8
0 0 0 0
5 0 0 0
0 0 0 0
42 0 0 4
41 0 0 1
3 0 0 0
105 0 0 10
141 0 0 13
0 0 0 0
0 0 0 0
42 0 0 1
0 0 0 0
23 0 0 5
0 0 0 0
111 0 0 8
0 0 0 0
32 0 0 5
0 0 0 0
0 0 0 0
183 1 2 17
0 0 0 0
21 0 0 1
81 1 0 8
0 0 0 0
32 0 0 4
0 0 0 0
18 0 0 1
122 0 0 11
0 0 0 0
0 0 0 0
13 0 0 0
17 0 0 0
0 0 0 0
0 0 0 0
89 0 0 4
44 0 0 3
82 1 0 11
9 0 0 1
0 0 0 0
86 0 1 13
14 0 0 1
0 0 0 0
20 0 0 1
0 0 0 0
21 0 0 0
89 0 0 12
0 0 0 0
160 0 1 7
11 0 0 0
74 1 1 5
51 0 0 4
3 0 0 0
22 0 0 2
82 0 0 15
38 0 0 4
13 0 0 2
45 0 0 5
59 0 0 6
86 0 0 7
85 1 1 12
0 0 0 0
155 0 0 14
6 0 0 0
0 0 0 0
59 0 0 3
72 0 0 3
32 0 0 2
14 0 0 1
0 0 0 0
29 0 0 5
36 0 0 4
0 0 0 0
0 0 0 0
132 0 0 15
0 0 0 0
0 0 0 0
102 0 0 12
95 0 0 7
11 0 0 1
14 0 0 1
0 0 0 0
0 0 0 0
145 0 0 17
12 0 0 0
0 0 0 0
51 0 0 8
35 0 0 3
26 0 0 5
23 0 0 2
3 0 0 0
105 1 1 10
138 2 0 19
10 0 0 1
0 0 0 0
32 0 0 2
0 0 0 0
28 0 0 3
0 0 0 0
0 0 0 0
74 0 0 9
87 1 1 3
43 0 0 5
0 0 0 0
28 0 0 4
135 0 0 13
16 0 0 0
0 0 0 0
90 0 0 8
0 0 0 0
30 0 0 2
81 0 0 2
0 0 0 0
0 0 0 0
25 0 0 1
29 0 0 1
15 0 0 0
60 0 0 7
0 0 0 0
0 0 0 0
65 0 0 10
39 0 0 5
16 0 0 1
2 0 0 0
0 0 0 0
0 0 0 0
29 0 0 0
26 0 0 1
0 0 0 0
23 0 0 5
49 0 0 0
0 0 0 0
52 0 0 4
16 0 0 2
121 0 0 5
0 0 0 0
27 0 0 3
53 0 0 6
0 0 0 0
26 0 0 4
0 0 0 0
24 0 0 2
0 0 0 0
80 0 0 10
16 0 0 2
122 0 0 17
0 0 0 0
10 0 0 3
0 0 0 0
10 0 0 1
55 0 0 2
22 0 0 1
65 0 0 5
0 0 0 0
32 0 0 4
87 0 0 8
76 0 0 7
13 0 0 2
60 1 0 8
71 0 0 5
21 0 0 2
5 0 0 0
76 0 0 7
49 0 0 6
18 0 0 1
0 0 0 0
0 0 0 0
146 0 0 12
53 0 0 6
0 0 0 0
49 0 0 6
0 0 0 0
1 0 0 0
0 0 0 0
109 0 0 13
27 0 0 5
9 0 0 0
71 0 0 5
88 0 0 9
63 0 0 5
22 0 0 1
28 0 0 3
14 0 0 1
0 0 0 0
72 0 0 8
8 0 0 0
0 0 0 0
20 0 0 1
16 0 0 0
59 0 0 9
15 0 0 1
6 0 0 0
23 0 0 1
3 0 0 0
78 0 0 11
38 0 0 5
25 0 0 2
34 0 0 7
27 0 0 3
25 0 0 5
13 0 0 1
9 0 0 2
50 0 0 6
85 0 0 9
156 1 0 14
94 2 0 8
0 0 0 0
0 0 0 0
70 0 0 6
0 0 0 0
75 0 0 7
43 0 0 2
0 0 0 0
4 0 0 0
161 0 0 15
0 0 0 0
208 0 0 22
9 0 0 1
42 0 0 5
87 0 0 7
90 0 0 10
6 0 0 0
0 0 0 0
16 0 0 0
25 0 0 3
21 0 0 3
43 0 0 2
13 0 0 1
37 0 0 2
16 0 0 0
12 0 0 0
0 0 0 0
128 0 0 10
34 0 0 1
0 0 0 0
19 0 0 1
42 0 0 4
148 1 0 15
0 0 0 0
13 0 0 0
50 0 0 5
15 0 0 1
122 0 0 14
0 0 0 0
11 0 0 4
22 0 0 2
21 0 0 2
13 0 0 0
17 0 0 2
131 0 1 14
28 0 0 3
71 1 0 2
111 0 0 11
32 0 0 3
0 0 0 0
9 0 0 2
23 0 0 2
33 0 0 4
33 0 0 5
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
51 0 0 4
25 0 0 1
116 0 0 7
146 0 0 15
0 0 0 0
0 0 0 0
0 0 0 0
6 0 0 1
127 0 0 9
72 0 0 9
0 0 0 0
189 1 0 19
160 0 0 11
18 0 0 2
35 0 0 4
0 0 0 0
46 0 0 4
8 0 0 0
0 0 0 0
145 1 2 15
0 0 0 0
17 0 0 1
15 0 0 3
9 0 0 1
0 0 0 0
67 0 0 7
0 0 0 0
8 0 0 0
46 0 0 3
10 0 0 1
89 0 0 6
101 1 1 5
10 0 0 1
0 0 0 0
0 0 0 0
0 0 0 0
189 0 1 14
110 0 0 13
17 0 0 3
51 0 0 5
44 0 0 2
21 0 0 1
149 0 0 10
191 0 1 16
0 0 0 0
0 0 0 0
43 0 0 6
20 0 0 5
53 0 0 4
28 0 0 4
0 0 0 0
32 0 0 4
127 0 0 11
34 0 0 1
109 0 0 13
67 0 0 7
0 0 0 0
162 0 0 15
40 0 0 5
91 0 0 11
29 1 0 5
24 0 0 1
60 0 0 5
0 0 0 0
24 0 0 0
16 0 0 0
0 0 0 0
89 0 0 7
0 0 0 0
17 0 0 1
79 0 0 13
22 0 0 2
0 0 0 0
10 0 0 3
13 0 0 2
123 0 0 12
0 0 0 0
0 0 0 0
58 0 0 5
57 1 0 8
30 0 0 2
0 0 0 0
12 0 0 0
15 0 0 1
27 0 0 4
0 0 0 0
58 0 0 5
0 0 0 0
136 0 0 6
41 0 0 6
68 0 0 12
0 0 0 0
165 0 0 16
62 0 0 7
119 1 2 13
146 0 0 12
18 0 0 2
16 0 0 0
0 0 0 0
3 0 0 1
7 0 0 0
111 0 0 7
15 0 0 1
0 0 0 0
30 0 0 5
25 0 0 3
11 0 0 1
23 0 0 4
13 0 0 1
0 0 0 0
0 0 0 0
13 0 0 0
14 0 0 3
45 0 0 0
53 0 0 5
44 0 0 3
21 0 0 0
44 0 0 5
0 0 0 0
23 0 0 2
16 0 0 1
0 0 0 0
11 0 0 4
68 0 0 8
0 0 0 0
102 2 0 8
19 0 0 0
87 2 0 8
19 0 0 1
40 0 0 3
23 0 0 0
4 0 0 0
0 0 0 0
57 0 0 3
5 0 0 0
20 0 0 2
14 0 0 0
16 0 0 0
141 0 0 5
0 0 0 0
178 0 0 13
35 0 0 2
0 0 0 0
32 0 0 3
37 0 0 0
0 0 0 0
0 0 0 0
8 0 0 0
2 0 0 1
16 0 0 2
0 0 0 0
11 0 0 2
0 0 0 0
52 1 1 3
0 0 0 0
0 0 0 0
10 0 0 1
23 0 0 4
174 0 0 17
0 0 0 0
0 0 0 0
12 0 0 2
22 0 0 2
0 0 0 0
77 0 1 2
0 0 0 0
0 0 0 0
58 1 0 6
0 0 0 0
77 0 0 6
0 0 0 0
1 0 0 0
28 0 0 1
19 0 0 1
2 0 0 0
159 1 1 7
0 0 0 0
125 0 1 18
51 0 0 2
93 1 1 6
0 0 0 0
22 0 0 2
43 0 0 5
24 0 0 1
130 1 0 14
36 0 0 0
18 0 0 1
16 0 0 0
5 0 0 0
0 0 0 0
32 0 0 2
39 1 0 4
35 0 0 6
133 0 0 9
218 2 0 12
0 0 0 0
55 0 0 7
66 0 0 5
15 0 0 4
30 0 0 5
18 0 0 1
21 0 0 0
55 0 0 7
22 0 0 0
67 0 0 4
0 0 0 0
0 0 0 0
12 0 0 4
93 0 0 9
0 0 0 0
107 2 0 11
71 0 0 8
25 0 0 1
53 1 0 1
14 0 0 0
0 0 0 0
110 1 0 12
131 0 0 8
0 0 0 0
47 0 0 5
17 0 0 2
0 0 0 0
252 1 0 20
70 0 0 7
46 0 0 3
0 0 0 0
145 0 0 18
12 0 0 0
119 0 0 13
0 0 0 0
7 0 0 1
43 1 0 3
46 0 0 5
0 0 0 0
162 0 0 8
0 0 0 0
10 0 0 0
117 2 0 9
26 0 0 1
126 3 2 7
91 0 0 8
34 0 0 3
187 0 0 12
19 0 0 5
5 0 0 0
14 0 0 2
4 0 0 0
0 0 0 0
49 0 0 6
40 0 0 1
16 0 0 2
0 0 0 0
90 0 0 6
0 0 0 0
1 0 0 1
1 0 0 0
4 0 0 0
19 0 0 0
93 0 0 11
21 0 0 2
11 0 0 2
13 0 0 1
18 0 0 1
30 1 0 1
0 0 0 0
0 0 0 0
15 0 0 2
80 0 0 4
13 0 0 1
14 0 0 1
22 0 0 4
57 0 0 5
86 0 0 8
89 0 0 8
183 0 2 19
58 0 0 9
75 0 0 6
33 0 0 0
0 0 0 0
1 0 0 0
44 0 0 1
41 0 0 4
93 0 0 10
8 0 0 0
0 0 0 0
30 0 0 2
151 0 0 10
7 0 0 0
0 0 0 0
2 0 0 0
0 0 0 0
15 0 0 3
46 0 0 5
40 0 0 5
18 0 0 2
51 0 0 5
0 0 0 0
43 1 0 4
17 0 0 2
33 0 0 6
44 0 0 1
39 0 0 5
9 0 0 1
0 0 0 0
0 0 0 0
69 0 0 11
14 0 0 7
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
14 0 0 0
8 0 0 0
0 0 0 0
4 0 0 0
6 0 0 3
12 0 0 1
56 0 0 2
18 0 0 1
15 0 0 0
0 0 0 0
157 0 0 12
26 0 0 3
14 0 0 1
45 0 0 4
11 0 0 1
31 0 0 1
98 0 1 7
27 0 0 1
10 0 0 0
89 1 0 6
94 0 0 13
0 0 0 0
0 0 0 0
14 0 0 3
6 0 0 0
134 0 0 11
29 0 1 6
14 0 0 0
166 1 0 25
95 0 0 8
30 0 0 4
13 0 0 2
0 0 0 0
0 0 0 0
46 0 0 3
0 0 0 0
111 0 0 5
68 0 0 6
0 0 0 0
10 0 0 0
0 0 0 0
84 0 0 8
82 0 0 7
3 0 0 0
7 0 0 2
0 0 0 0
0 0 0 0
11 0 0 0
0 0 0 0
0 0 0 0
