N_ch N_D N_Ds N_K
33 0 0 0
20 0 0 6
40 0 0 3
28 0 0 3
27 0 0 2
19 0 0 1
37 0 0 0
27 0 0 1
57 0 0 4
37 0 0 2
45 0 0 2
23 0 0 2
48 0 0 7
24 0 0 3
44 0 0 4
18 0 0 1
30 0 0 1
32 0 0 4
28 0 0 5
29 0 0 2
53 0 0 5
38 0 0 3
39 0 0 6
25 0 0 3
14 0 0 1
41 0 0 3
27 0 0 4
23 0 0 5
31 0 0 0
39 0 0 1
31 0 0 2
32 1 0 2
58 0 0 8
26 0 0 2
43 1 0 4
36 0 0 3
33 0 0 4
25 0 0 2
34 0 0 5
30 0 0 4
26 0 0 1
35 0 0 10
17 0 0 3
32 0 0 3
21 0 0 3
28 0 0 2
31 0 0 1
32 0 0 4
32 0 0 6
21 0 0 1
48 0 0 3
45 0 0 5
29 0 0 7
24 0 0 4
41 0 0 4
30 0 0 4
34 0 0 1
55 0 0 8
41 0 0 6
71 0 0 9
35 0 0 3
21 1 0 1
30 0 0 5
31 0 0 3
27 0 0 3
39 0 0 2
31 0 0 5
58 0 0 2
37 0 0 6
19 0 0 1
28 0 0 2
44 0 0 3
28 0 0 4
14 0 0 2
50 0 0 3
50 0 0 4
33 1 0 0
27 0 0 2
31 0 0 1
23 0 0 3
21 0 0 2
62 0 0 3
36 0 0 2
46 0 0 3
20 0 0 2
31 0 0 2
36 1 0 4
53 0 0 6
25 0 0 3
27 0 0 4
30 0 0 2
17 0 0 1
45 0 0 3
32 0 0 3
58 1 0 7
31 0 0 3
42 0 0 3
23 0 0 1
31 0 0 2
36 0 0 7
46 0 0 6
34 0 0 0
14 0 0 0
25 0 0 0
42 0 0 6
46 0 0 1
53 0 0 8
26 0 0 1
33 0 0 0
20 0 0 0
28 0 0 4
47 0 0 1
37 0 0 6
39 0 0 0
34 0 0 2
37 0 0 8
17 0 0 0
38 0 0 5
17 0 0 2
38 0 0 3
23 0 0 0
29 0 0 0
18 0 0 1
33 0 0 2
48 0 0 1
36 0 0 5
53 0 0 5
32 0 0 2
34 0 0 3
52 0 0 3
54 0 0 5
41 0 0 6
35 0 0 4
35 0 0 1
35 0 0 2
18 0 0 1
26 0 0 0
39 0 0 0
27 0 0 1
11 0 0 2
22 0 0 1
30 0 0 1
31 0 0 4
34 0 0 3
26 0 0 2
58 0 0 6
27 0 1 2
18 0 0 1
13 0 0 3
32 0 0 2
38 0 0 2
42 0 0 4
20 0 0 0
28 0 0 3
28 0 0 3
25 0 0 3
24 0 0 5
30 0 0 1
22 0 0 1
32 0 0 1
27 0 0 4
44 0 0 4
18 0 0 0
63 0 0 9
24 0 0 1
32 0 0 2
26 0 0 0
38 0 0 2
59 0 0 8
37 0 0 3
55 0 0 1
26 0 0 2
38 0 0 4
33 0 0 4
36 0 0 2
27 0 0 4
47 0 0 2
48 0 0 6
28 0 0 0
24 0 0 2
21 0 0 4
35 0 0 6
38 0 0 8
38 0 0 2
32 0 0 1
30 0 0 3
30 0 0 2
39 0 0 7
34 0 0 4
35 0 0 3
39 0 0 2
19 0 0 2
35 0 0 10
49 1 0 3
20 0 0 1
24 0 0 1
43 0 0 5
20 0 0 1
44 1 0 2
26 0 0 6
26 0 0 2
41 0 0 6
34 0 0 0
26 0 0 8
54 0 0 2
25 0 0 4
23 0 0 5
22 0 0 3
35 0 0 3
19 0 0 3
39 0 0 2
23 0 0 0
66 0 0 7
61 0 0 7
43 0 0 6
37 1 0 2
53 0 0 7
38 0 0 2
33 0 0 5
24 0 0 0
32 0 0 3
21 0 0 3
41 0 0 1
45 0 0 1
37 0 0 2
34 0 0 1
23 0 0 4
35 0 0 2
34 0 0 1
60 0 0 5
36 1 0 5
36 0 0 0
22 0 0 0
32 0 0 4
20 0 0 1
19 0 0 2
56 0 0 5
34 0 0 3
40 0 0 4
33 0 0 0
31 0 0 2
24 0 0 1
24 0 0 0
21 0 0 2
27 0 0 3
37 0 0 5
34 0 0 9
27 0 0 1
31 0 0 2
23 0 0 3
31 0 0 1
25 0 0 4
31 0 0 4
60 0 0 3
28 0 0 4
42 0 0 3
41 0 0 6
20 0 0 2
33 0 0 4
25 0 0 4
53 0 0 5
41 0 0 9
37 0 0 3
31 0 0 1
30 0 0 3
21 0 0 1
31 0 0 2
37 0 0 4
36 0 0 1
20 0 0 2
42 0 0 3
26 0 0 1
42 0 0 4
55 0 0 3
35 0 0 5
49 0 0 2
70 0 0 9
51 0 0 4
54 0 0 4
30 0 0 4
31 0 0 5
41 0 0 4
27 0 0 5
33 0 0 3
36 0 0 2
27 0 0 2
47 0 0 6
45 0 0 5
37 0 0 5
37 0 0 4
56 0 0 5
36 0 0 2
51 0 0 5
32 0 0 3
