N_ch N_D N_Ds N_K
22 0 0 2
19 0 0 0
25 0 0 6
32 0 0 1
34 0 0 5
18 0 0 3
28 0 0 2
23 0 0 0
27 0 0 0
15 0 0 0
24 0 0 4
20 0 0 1
16 0 0 4
19 0 0 1
19 0 0 1
32 0 0 1
21 0 0 1
32 0 0 1
33 0 0 3
22 0 1 2
30 0 0 3
24 0 0 3
28 0 0 7
19 0 0 0
21 0 0 1
21 0 0 2
28 1 0 2
25 0 0 1
24 0 0 0
26 0 0 1
31 0 0 3
41 0 0 0
25 0 0 2
22 0 0 2
21 0 0 0
29 0 0 2
27 0 0 5
25 2 0 7
41 0 0 1
29 0 0 0
18 0 0 0
27 0 0 2
21 0 0 6
30 0 0 0
29 0 0 0
27 0 0 5
34 0 0 4
30 0 0 4
22 0 0 2
23 0 0 1
34 0 0 8
41 0 0 1
28 0 0 4
21 0 0 6
22 0 0 7
24 0 0 4
19 0 0 0
15 0 0 3
31 0 0 3
18 0 0 0
22 0 0 2
24 0 0 3
21 0 0 1
25 0 0 1
31 0 0 1
27 0 0 3
23 0 0 1
29 0 0 1
33 0 0 1
31 0 0 3
29 0 0 0
26 0 0 3
33 0 0 2
23 0 0 0
26 0 0 4
31 0 0 2
34 0 0 6
32 0 0 3
35 0 0 3
21 0 0 0
31 0 0 3
23 0 0 1
32 0 0 2
25 0 0 3
17 0 0 0
29 0 0 2
34 0 0 5
28 0 0 2
32 0 0 2
27 0 0 5
21 0 0 3
19 0 0 6
17 0 0 3
29 0 0 3
26 0 0 0
26 0 0 3
18 0 0 2
26 0 0 1
22 0 0 6
26 0 0 1
37 0 0 4
23 0 0 9
26 0 0 1
19 0 0 4
44 0 0 6
32 0 0 4
29 0 0 0
31 1 0 2
30 0 0 6
33 0 0 4
29 0 0 3
28 0 0 3
24 0 0 1
22 0 0 0
32 0 0 2
25 0 0 8
45 0 0 3
27 0 0 2
28 0 0 7
24 0 0 1
27 0 0 0
39 0 0 11
45 0 0 3
18 0 0 0
21 0 0 2
20 0 0 0
25 0 0 3
27 0 0 0
21 0 0 0
16 0 0 2
20 0 0 2
18 0 0 1
19 0 0 4
20 0 0 1
28 0 0 1
18 0 0 1
21 0 0 0
16 0 0 2
25 0 0 3
34 0 0 4
25 0 0 2
6 0 0 0
32 0 0 5
16 0 0 2
28 0 0 2
25 0 0 2
22 0 1 6
23 0 0 0
25 0 0 2
23 0 0 0
19 0 0 1
17 0 0 0
24 0 0 4
16 0 0 1
22 0 0 1
26 0 0 3
26 0 0 0
25 0 0 2
25 0 0 5
20 0 0 4
34 0 0 5
35 1 0 6
33 0 0 1
18 0 0 1
21 0 0 4
25 0 0 4
18 0 0 2
40 0 0 3
15 0 0 0
14 0 0 4
26 0 0 6
12 0 0 1
26 0 0 2
26 0 0 5
28 0 0 1
24 0 0 3
27 0 0 1
23 0 0 1
34 0 0 3
19 0 0 1
21 0 1 0
