N_ch N_D N_Ds N_K
24 0 0 0
22 0 0 5
37 0 0 4
0 0 0 0
13 0 0 1
35 0 0 2
0 0 0 0
25 0 0 1
34 0 0 2
35 0 0 3
19 0 0 2
20 0 0 0
15 0 0 2
23 0 0 3
118 0 0 9
39 0 0 8
5 0 0 0
0 0 0 0
0 0 0 0
21 0 0 4
22 0 0 0
0 0 0 0
28 0 0 2
15 0 0 1
12 0 0 0
30 0 0 3
48 0 0 1
38 0 0 2
19 0 0 1
0 0 0 0
15 0 0 3
110 0 0 8
27 0 0 4
0 0 0 0
69 0 0 1
42 0 0 2
2 0 0 0
71 0 0 7
0 0 0 0
20 0 0 3
23 0 0 1
84 0 0 11
26 0 0 1
88 0 0 3
45 0 0 6
0 0 0 0
29 0 0 2
0 0 0 0
27 0 0 3
0 0 0 0
30 0 0 2
0 0 0 0
22 0 0 4
43 0 0 3
37 0 0 3
0 0 0 0
65 0 0 2
95 0 0 2
26 0 0 2
44 0 0 5
44 0 0 4
14 0 0 1
41 0 0 0
2 0 0 0
0 0 0 0
93 0 0 6
43 0 0 4
54 0 0 4
17 0 0 0
97 0 0 7
22 0 0 3
0 0 0 0
38 0 0 3
0 0 0 0
0 0 0 0
32 0 0 3
43 0 0 8
0 0 0 0
0 0 0 0
0 0 0 0
189 1 0 13
63 0 0 4
77 0 0 3
25 0 0 5
47 0 0 3
0 0 0 0
0 0 0 0
58 0 0 12
78 0 0 7
24 0 0 1
46 0 0 7
107 0 0 7
20 0 0 2
62 0 0 5
34 2 0 2
0 0 0 0
53 0 0 2
22 0 0 0
0 0 0 0
51 0 0 5
28 0 0 0
35 0 0 5
63 0 0 5
90 0 0 6
120 0 0 6
142 0 0 10
48 0 0 6
15 0 0 2
34 0 0 3
104 0 0 9
0 0 0 0
29 0 0 4
39 0 0 3
0 0 0 0
26 0 0 5
0 0 0 0
34 0 0 6
11 0 0 0
0 0 0 0
201 0 0 19
0 0 0 0
98 0 0 9
72 0 0 8
0 0 0 0
37 0 0 2
39 0 0 1
20 0 0 1
0 0 0 0
77 0 0 6
14 0 0 3
35 0 0 3
0 0 0 0
0 0 0 0
30 0 0 3
0 0 0 0
151 0 0 8
66 0 0 4
0 0 0 0
0 0 0 0
39 0 0 1
87 0 0 8
29 0 0 4
0 0 0 0
0 0 0 0
0 0 0 0
81 0 0 6
13 0 0 1
142 0 0 13
80 0 0 8
0 0 0 0
0 0 0 0
21 0 0 2
136 0 0 19
89 0 0 7
0 0 0 0
0 0 0 0
0 0 0 0
51 0 0 6
126 0 0 9
47 0 0 3
120 0 0 12
20 0 0 2
38 0 0 2
66 0 0 2
25 0 0 0
30 0 0 1
15 0 0 2
30 0 0 3
73 0 0 8
24 0 0 2
92 1 0 13
14 0 0 1
27 0 0 2
137 0 0 14
0 0 0 0
23 0 0 2
25 0 0 2
41 0 0 4
29 0 0 5
0 0 0 0
17 0 0 0
19 0 0 3
0 0 0 0
6 0 0 0
42 0 0 3
34 0 0 0
39 0 0 1
23 0 0 1
29 0 0 2
63 0 0 5
54 0 0 4
66 0 0 4
24 0 0 3
81 0 0 5
85 0 0 6
31 0 0 4
36 0 0 3
0 0 0 0
15 0 0 4
0 0 0 0
32 0 0 0
0 0 0 0
71 0 0 4
45 0 0 3
20 0 0 2
18 0 0 3
0 0 0 0
0 0 0 0
0 0 0 0
126 1 0 17
26 0 0 1
0 0 0 0
0 0 0 0
41 0 0 2
23 0 0 0
0 0 0 0
32 0 0 4
31 0 0 3
33 0 0 3
161 0 0 15
0 0 0 0
0 0 0 0
0 0 0 0
12 0 0 0
31 0 0 2
0 0 0 0
24 0 0 3
52 0 0 3
17 0 0 2
13 0 0 2
0 0 0 0
0 0 0 0
116 0 0 13
24 0 0 2
98 0 0 9
0 0 0 0
25 0 0 4
62 0 0 9
38 0 0 5
16 0 0 1
114 0 0 7
0 0 0 0
43 0 1 6
74 0 0 6
32 0 0 1
147 0 0 14
57 0 0 2
75 0 0 11
137 0 0 5
40 0 0 6
0 0 0 0
131 0 0 13
1 0 0 0
35 0 0 1
18 0 0 1
35 0 0 3
0 0 0 0
0 0 0 0
32 0 0 2
94 0 0 7
164 0 0 16
88 0 0 11
18 0 0 2
0 0 0 0
29 0 0 2
16 0 0 1
0 0 0 0
0 0 0 0
101 0 0 7
31 0 0 2
45 0 0 3
72 0 0 5
44 0 0 6
0 0 0 0
71 0 0 0
23 0 0 1
72 0 0 6
0 0 0 0
0 0 0 0
